epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.348,1.96583,4.32227,1.55057,0.0153,0.23531,0.036,0.01558,1.4766,4.38488,1.28809,0.000190235,0.000190235,0.000190235
2,80.3412,1.73282,3.72238,1.37055,0.03284,0.60688,0.27882,0.20478,1.44919,3.98009,1.273,0.000378588,0.000378588,0.000378588
3,120.462,1.59573,3.13829,1.25545,0.66766,0.32417,0.42369,0.28674,1.45208,3.10887,1.19519,0.000559179,0.000559179,0.000559179
4,159.058,1.46609,2.63978,1.17003,0.43492,0.5851,0.51587,0.36005,1.29709,2.21174,1.15698,0.000553073,0.000553073,0.000553073
5,197.769,1.35525,2.19832,1.122,0.47931,0.7361,0.64842,0.46734,1.12056,1.75577,1.05622,0.00054143,0.00054143,0.00054143
6,237.613,1.25138,1.85701,1.07033,0.57666,0.80138,0.72342,0.5268,1.02844,1.55273,1.01045,0.000529788,0.000529788,0.000529788
7,276.278,1.19721,1.6845,1.0588,0.6335,0.77175,0.7211,0.51113,1.07517,1.36364,1.03415,0.000518146,0.000518146,0.000518146
8,315.136,1.15379,1.54954,1.04839,0.77229,0.81326,0.81915,0.6015,0.96204,1.19641,0.97725,0.000506503,0.000506503,0.000506503
9,353.751,1.08809,1.41748,1.01271,0.75544,0.85411,0.85355,0.63289,0.9051,1.05588,0.95975,0.000494861,0.000494861,0.000494861
10,392.894,1.05483,1.33742,1.00469,0.82115,0.84253,0.86717,0.63801,0.92579,1.0396,0.94965,0.000483218,0.000483218,0.000483218
11,431.333,1.02374,1.27591,0.99576,0.83384,0.86474,0.88613,0.67955,0.83336,0.95407,0.91998,0.000471576,0.000471576,0.000471576
12,470.502,0.99419,1.2249,0.97975,0.83813,0.86337,0.88581,0.69164,0.79292,0.92161,0.913,0.000459934,0.000459934,0.000459934
13,509.887,0.98585,1.17105,0.9705,0.85959,0.85823,0.88132,0.68812,0.83959,0.90833,0.92312,0.000448291,0.000448291,0.000448291
14,551.75,0.94622,1.08624,0.95582,0.86053,0.89742,0.9052,0.72244,0.7593,0.85087,0.90058,0.000436649,0.000436649,0.000436649
15,593.682,0.89385,1.04905,0.94707,0.84395,0.91682,0.91156,0.71324,0.7985,0.87206,0.90255,0.000425006,0.000425006,0.000425006
16,635.159,0.92843,1.07229,0.94902,0.83606,0.8716,0.91491,0.71727,0.79627,0.89354,0.89232,0.000413364,0.000413364,0.000413364
17,676.15,0.88908,1.00471,0.93177,0.90551,0.90355,0.95366,0.75273,0.73892,0.80021,0.87553,0.000401722,0.000401722,0.000401722
18,717.146,0.88913,0.98828,0.9382,0.93295,0.91858,0.96215,0.76538,0.73703,0.75718,0.87975,0.000390079,0.000390079,0.000390079
19,757.593,0.89873,0.98201,0.93977,0.92677,0.91065,0.96507,0.74877,0.77116,0.77261,0.87971,0.000378437,0.000378437,0.000378437
20,796.596,0.86125,0.93364,0.92543,0.94988,0.94949,0.97428,0.75973,0.77514,0.70823,0.90273,0.000366794,0.000366794,0.000366794
21,835.445,0.86301,0.92582,0.93132,0.90888,0.93119,0.9649,0.77244,0.72078,0.71363,0.87153,0.000355152,0.000355152,0.000355152
22,874.378,0.82465,0.88793,0.9255,0.95671,0.9538,0.97407,0.78629,0.71764,0.6763,0.87773,0.00034351,0.00034351,0.00034351
23,913.98,0.85676,0.892,0.93742,0.94775,0.94682,0.97105,0.77488,0.74905,0.66914,0.89001,0.000331867,0.000331867,0.000331867
24,953.693,0.82148,0.85192,0.92332,0.94695,0.95072,0.9662,0.78725,0.68415,0.66867,0.86847,0.000320225,0.000320225,0.000320225
25,994.005,0.81274,0.8329,0.90771,0.93544,0.95558,0.97059,0.78821,0.7068,0.66928,0.8742,0.000308582,0.000308582,0.000308582
26,1033.91,0.80602,0.8256,0.91947,0.9489,0.95455,0.97862,0.79635,0.68224,0.63292,0.86536,0.00029694,0.00029694,0.00029694
27,1073.6,0.78181,0.80555,0.91092,0.96195,0.9683,0.98022,0.79653,0.70271,0.64006,0.87883,0.000285298,0.000285298,0.000285298
28,1112.73,0.79801,0.80414,0.91296,0.96437,0.9561,0.97973,0.79472,0.68806,0.62681,0.86856,0.000273655,0.000273655,0.000273655
29,1151.47,0.78537,0.79233,0.90726,0.9708,0.96592,0.97986,0.7967,0.6963,0.62673,0.87781,0.000262013,0.000262013,0.000262013
30,1192.39,0.77879,0.78228,0.91079,0.96718,0.96593,0.97936,0.79511,0.67531,0.61761,0.86232,0.00025037,0.00025037,0.00025037
31,1231.61,0.78306,0.77923,0.90686,0.96047,0.96355,0.97714,0.811,0.66554,0.62051,0.86772,0.000238728,0.000238728,0.000238728
32,1271.44,0.76448,0.76012,0.8902,0.9785,0.96609,0.98353,0.80738,0.66051,0.60516,0.85612,0.000227086,0.000227086,0.000227086
33,1310.77,0.76594,0.76101,0.90319,0.97892,0.97142,0.98448,0.81624,0.65938,0.58404,0.86282,0.000215443,0.000215443,0.000215443
34,1351.37,0.76281,0.7554,0.89295,0.9785,0.97083,0.9826,0.81371,0.65914,0.58856,0.85861,0.000203801,0.000203801,0.000203801
35,1389.93,0.76013,0.75634,0.89669,0.97052,0.95869,0.98143,0.80439,0.66688,0.60586,0.8639,0.000192158,0.000192158,0.000192158
36,1428.62,0.76216,0.74834,0.89803,0.97514,0.97408,0.98337,0.81887,0.63575,0.5774,0.85709,0.000180516,0.000180516,0.000180516
37,1467.26,0.75208,0.73321,0.89466,0.9628,0.97313,0.98283,0.8169,0.63274,0.5784,0.85534,0.000168874,0.000168874,0.000168874
38,1506.13,0.72262,0.71882,0.89133,0.9747,0.97486,0.98442,0.82092,0.62405,0.5641,0.85202,0.000157231,0.000157231,0.000157231
39,1544.44,0.73896,0.72868,0.8842,0.97935,0.9753,0.98444,0.82635,0.61604,0.56093,0.85086,0.000145589,0.000145589,0.000145589
40,1583.37,0.71262,0.7057,0.89189,0.97576,0.96649,0.98227,0.82417,0.61634,0.56402,0.85308,0.000133946,0.000133946,0.000133946
41,1622.44,0.66622,0.65497,0.86853,0.97217,0.96907,0.98107,0.81607,0.64087,0.56967,0.85766,0.000122304,0.000122304,0.000122304
42,1661.1,0.65433,0.64788,0.85799,0.96975,0.97039,0.98243,0.81939,0.63297,0.57197,0.8534,0.000110662,0.000110662,0.000110662
43,1699.88,0.63991,0.62809,0.86183,0.96642,0.97664,0.98305,0.81967,0.63077,0.57774,0.8539,9.90192e-05,9.90192e-05,9.90192e-05
44,1739.07,0.6235,0.61194,0.86055,0.97581,0.97653,0.98564,0.81553,0.63853,0.56977,0.85343,8.73768e-05,8.73768e-05,8.73768e-05
45,1777.67,0.62875,0.61321,0.86549,0.97282,0.97491,0.98456,0.82188,0.63129,0.56394,0.85755,7.57344e-05,7.57344e-05,7.57344e-05
46,1816.25,0.60289,0.59338,0.85777,0.97164,0.98046,0.98428,0.82437,0.61713,0.55667,0.8529,6.4092e-05,6.4092e-05,6.4092e-05
47,1855.08,0.60354,0.5965,0.85308,0.96888,0.98059,0.98509,0.82466,0.61788,0.55068,0.85276,5.24496e-05,5.24496e-05,5.24496e-05
48,1894.01,0.60967,0.59332,0.86273,0.97328,0.97288,0.98461,0.82158,0.61838,0.55869,0.85196,4.08072e-05,4.08072e-05,4.08072e-05
49,1932.54,0.60167,0.58774,0.85297,0.9762,0.97254,0.98448,0.82638,0.61109,0.55102,0.85091,2.91648e-05,2.91648e-05,2.91648e-05
50,1972.44,0.60317,0.59034,0.85132,0.97583,0.97481,0.98477,0.82934,0.60904,0.54593,0.84968,1.75224e-05,1.75224e-05,1.75224e-05
